timestamp,tier,tenant,seq,waitMs,execMs,queueDepth
1782956071514,BRONZE,B1,1,150,51,39
1782956071578,BRONZE,B1,2,214,31,38
1782956071609,BRONZE,B1,3,245,40,37
1782956071651,BRONZE,B1,4,287,18,36
1782956071676,BRONZE,B1,5,312,30,35
1782956071707,BRONZE,B1,6,343,33,34
1782956071742,BRONZE,B1,7,378,58,33
1782956071801,BRONZE,B1,8,437,32,32
1782956071833,BRONZE,B1,9,469,47,31
1782956071881,BRONZE,B1,10,517,17,30
1782956071899,BRONZE,B1,11,535,51,29
1782956071951,BRONZE,B1,12,587,15,28
1782956071967,BRONZE,B1,13,603,24,27
1782956071991,BRONZE,B1,14,627,31,26
1782956072023,BRONZE,B1,15,659,40,25
1782956072065,BRONZE,B1,16,701,20,24
1782956072090,BRONZE,B1,17,726,22,23
1782956072127,BRONZE,B1,18,763,21,22
1782956072163,BRONZE,B1,19,799,32,21
1782956072202,BRONZE,B1,20,838,48,20
1782956072251,BRONZE,B2,1,887,45,19
1782956072297,BRONZE,B2,2,933,28,18
1782956072326,BRONZE,B2,3,962,29,17
1782956072356,BRONZE,B2,4,992,48,16
1782956072524,BRONZE,B2,5,1160,24,15
1782956072558,BRONZE,B2,6,1194,49,14
1782956072610,BRONZE,B2,7,1246,37,13
1782956072665,BRONZE,B2,8,1301,55,12
1782956072724,BRONZE,B2,9,1360,32,11
1782956072787,BRONZE,B2,10,1423,57,10
1782956072845,BRONZE,B2,11,1481,17,9
1782956072863,BRONZE,B2,12,1499,40,8
1782956072909,BRONZE,B2,13,1545,53,7
1782956072963,BRONZE,B2,14,1599,16,6
1782956072980,BRONZE,B2,15,1616,51,5
1782956073089,BRONZE,B2,16,1725,24,4
1782956073174,BRONZE,B2,17,1810,50,3
1782956073231,BRONZE,B2,18,1867,42,2
1782956073274,BRONZE,B3,1,1910,31,1
1782956073306,BRONZE,B3,2,1942,46,0
1782956073355,BRONZE,B4,1,1991,33,7
1782956073389,BRONZE,B4,2,2025,27,6
1782956073417,BRONZE,B4,3,2053,46,5
1782956073466,BRONZE,B4,4,2102,23,4
1782956073491,BRONZE,B4,5,2127,27,3
1782956073532,BRONZE,B4,6,2168,50,2
1782956073583,BRONZE,B4,7,2219,44,1
1782956073627,BRONZE,B4,8,2263,37,0
1782956073665,BRONZE,B5,1,2301,16,89
1782956073682,BRONZE,B5,2,2318,52,88
1782956073822,BRONZE,B5,3,2458,19,87
1782956073849,BRONZE,B5,4,2485,49,86
1782956073899,BRONZE,B5,5,2535,55,85
1782956073955,BRONZE,B5,6,2591,55,84
1782956074011,BRONZE,B5,7,2647,37,83
1782956074050,BRONZE,B5,8,2686,53,82
1782956074103,BRONZE,B5,9,2739,33,81
1782956074137,BRONZE,B5,10,2773,38,80
1782956074176,BRONZE,B5,11,2812,39,79
1782956074216,BRONZE,B5,12,2852,53,78
1782956074269,BRONZE,B5,13,2905,18,77
1782956074288,BRONZE,B5,14,2924,51,76
1782956074345,BRONZE,B5,15,2981,25,75
1782956074374,BRONZE,B5,16,3010,44,74
1782956074419,BRONZE,B5,17,3055,35,73
1782956074457,BRONZE,B5,18,3093,24,72
1782956074482,BRONZE,B5,19,3118,30,71
1782956074513,BRONZE,B5,20,3149,52,70
1782956074565,BRONZE,B1,21,3201,25,19
1782956074591,BRONZE,B1,22,3227,38,18
1782956074630,BRONZE,B1,23,3266,56,17
1782956074687,BRONZE,B1,24,3323,53,16
1782956074741,BRONZE,B1,25,3377,22,15
1782956074764,BRONZE,B1,26,3400,37,14
1782956074802,BRONZE,B1,27,3438,37,13
1782956074848,BRONZE,B1,28,3484,37,12
1782956074895,BRONZE,B1,29,3531,17,11
1782956074917,BRONZE,B1,30,3553,44,10
1782956074962,BRONZE,B1,31,3598,51,9
1782956075014,BRONZE,B1,32,3650,50,8
1782956075065,BRONZE,B1,33,3701,57,7
1782956075123,BRONZE,B1,34,3759,43,6
1782956075167,BRONZE,B1,35,3803,59,5
1782956075227,BRONZE,B1,36,3863,31,4
1782956075259,BRONZE,B1,37,3895,31,3
1782956075290,BRONZE,B1,38,3926,45,2
1782956075336,BRONZE,B1,39,3972,45,1
1782956075383,BRONZE,B1,40,4019,54,0
1782956075439,BRONZE,B2,19,4075,38,1
1782956075480,BRONZE,B2,20,4116,33,0
1782956075514,BRONZE,B5,21,4150,45,69
1782956075560,BRONZE,B5,22,4196,36,68
1782956075596,BRONZE,B5,23,4232,32,67
1782956075629,BRONZE,B5,24,4265,28,66
1782956075657,BRONZE,B5,25,4293,33,65
1782956075691,BRONZE,B5,26,4327,27,64
1782956075719,BRONZE,B5,27,4355,28,63
1782956075748,BRONZE,B5,28,4384,46,62
1782956075794,BRONZE,B5,29,4430,41,61
1782956075836,BRONZE,B5,30,4472,18,60
1782956075855,BRONZE,B5,31,4491,42,59
1782956075898,BRONZE,B5,32,4534,23,58
1782956075922,BRONZE,B5,33,4558,30,57
1782956075953,BRONZE,B5,34,4589,40,56
1782956075994,BRONZE,B5,35,4630,34,55
1782956076037,BRONZE,B5,36,4673,49,54
1782956076087,BRONZE,B5,37,4723,18,53
1782956076106,BRONZE,B5,38,4742,46,52
1782956076153,BRONZE,B5,39,4789,50,51
1782956076204,BRONZE,B5,40,4840,29,50
1782956076234,BRONZE,B5,41,4870,20,49
1782956076255,BRONZE,B5,42,4891,41,48
1782956076297,BRONZE,B5,43,4933,51,47
1782956076350,BRONZE,B5,44,4986,18,46
1782956076369,BRONZE,B5,45,5005,33,45
1782956076403,BRONZE,B5,46,5039,19,44
1782956076423,BRONZE,B5,47,5059,52,43
1782956076476,BRONZE,B5,48,5112,50,42
1782956076527,BRONZE,B5,49,5163,15,41
1782956076543,BRONZE,B5,50,5179,53,40
1782956076596,BRONZE,B5,51,5232,58,39
1782956076654,BRONZE,B5,52,5290,43,38
1782956076699,BRONZE,B5,53,5335,40,37
1782956076740,BRONZE,B5,54,5376,59,36
1782956076799,BRONZE,B5,55,5435,40,35
1782956076840,BRONZE,B5,56,5476,27,34
1782956076868,BRONZE,B5,57,5504,48,33
1782956076917,BRONZE,B5,58,5553,34,32
1782956076952,BRONZE,B5,59,5588,54,31
1782956077006,BRONZE,B5,60,5642,59,30
1782956077066,BRONZE,B5,61,5702,18,29
1782956077084,BRONZE,B5,62,5720,20,28
1782956077105,BRONZE,B5,63,5741,28,27
1782956077133,BRONZE,B5,64,5769,28,26
1782956077162,BRONZE,B5,65,5798,39,25
1782956077202,BRONZE,B5,66,5838,25,24
1782956077228,BRONZE,B5,67,5864,32,23
1782956077260,BRONZE,B5,68,5896,24,22
1782956077284,BRONZE,B5,69,5920,31,21
1782956077315,BRONZE,B5,70,5951,29,20
1782956077345,BRONZE,B5,71,5981,18,19
1782956077364,BRONZE,B5,72,6000,58,18
1782956077424,BRONZE,B5,73,6060,38,17
1782956077463,BRONZE,B5,74,6099,22,16
1782956077485,BRONZE,B5,75,6121,56,15
1782956077541,BRONZE,B5,76,6177,36,14
1782956077578,BRONZE,B5,77,6214,50,13
1782956077628,BRONZE,B5,78,6264,53,12
1782956077681,BRONZE,B5,79,6317,31,11
1782956077712,BRONZE,B5,80,6348,42,10
1782956077755,BRONZE,B5,81,6391,43,9
1782956077798,BRONZE,B5,82,6434,31,8
1782956077829,BRONZE,B5,83,6465,27,7
1782956077857,BRONZE,B5,84,6493,40,6
1782956077897,BRONZE,B5,85,6533,38,5
1782956077935,BRONZE,B5,86,6571,16,4
1782956077952,BRONZE,B5,87,6588,16,3
1782956077969,BRONZE,B5,88,6605,27,2
1782956077996,BRONZE,B5,89,6632,41,1
1782956078038,BRONZE,B5,90,6674,18,0
