timestamp,tier,tenant,seq,waitMs,execMs,queueDepth
1782926284848,SILVER,S1,1,91,45,13
1782926284899,SILVER,S1,2,142,36,12
1782926284940,SILVER,S1,3,183,46,11
1782926284987,SILVER,S1,4,230,21,10
1782926285009,SILVER,S1,5,252,35,9
1782926285051,SILVER,S1,6,294,42,8
1782926285094,SILVER,S1,7,337,28,7
1782926285123,SILVER,S1,8,366,41,6
1782926285164,SILVER,S1,9,407,27,5
1782926285192,SILVER,S1,10,435,21,4
1782926285214,SILVER,S1,11,457,58,3
1782926285273,SILVER,S1,12,516,34,2
1782926285308,SILVER,S1,13,551,42,1
1782926285351,SILVER,S1,14,594,29,0
1782926285381,SILVER,S2,1,624,33,59
1782926285415,SILVER,S2,2,658,50,58
1782926285465,SILVER,S2,3,708,15,57
1782926285481,SILVER,S2,4,724,54,56
1782926285536,SILVER,S2,5,779,36,55
1782926285573,SILVER,S2,6,816,58,54
1782926285632,SILVER,S2,7,875,38,53
1782926285671,SILVER,S2,8,914,26,52
1782926285698,SILVER,S2,9,941,39,51
1782926285738,SILVER,S2,10,981,45,50
1782926285783,SILVER,S2,11,1026,35,49
1782926285819,SILVER,S2,12,1062,36,48
1782926285856,SILVER,S2,13,1099,45,47
1782926285902,SILVER,S2,14,1145,53,46
1782926285957,SILVER,S2,15,1200,22,45
1782926285981,SILVER,S2,16,1224,38,44
1782926286020,SILVER,S2,17,1263,32,43
1782926286053,SILVER,S2,18,1296,16,42
1782926286070,SILVER,S2,19,1313,55,41
1782926286126,SILVER,S2,20,1369,51,40
1782926286178,SILVER,S2,21,1421,27,39
1782926286206,SILVER,S2,22,1449,25,38
1782926286232,SILVER,S2,23,1475,33,37
1782926286266,SILVER,S2,24,1509,55,36
1782926286322,SILVER,S2,25,1565,30,35
1782926286353,SILVER,S2,26,1596,52,34
1782926286406,SILVER,S2,27,1649,42,33
1782926286449,SILVER,S2,28,1692,35,32
1782926286485,SILVER,S2,29,1728,56,31
1782926286542,SILVER,S2,30,1785,37,30
1782926286580,SILVER,S2,31,1823,32,29
1782926286613,SILVER,S2,32,1856,19,28
1782926286633,SILVER,S2,33,1876,20,27
1782926286654,SILVER,S2,34,1897,44,26
1782926286698,SILVER,S2,35,1941,46,25
1782926286745,SILVER,S2,36,1988,31,24
1782926286777,SILVER,S2,37,2020,20,23
1782926286798,SILVER,S2,38,2041,33,22
1782926286832,SILVER,S2,39,2075,56,21
1782926286889,SILVER,S2,40,2132,15,20
1782926286905,SILVER,S3,1,2148,23,19
1782926286929,SILVER,S3,2,2172,54,18
1782926286984,SILVER,S3,3,2227,48,17
1782926287033,SILVER,S3,4,2276,47,16
1782926287081,SILVER,S3,5,2324,38,15
1782926287120,SILVER,S3,6,2363,51,14
1782926287172,SILVER,S3,7,2415,58,13
1782926287231,SILVER,S3,8,2474,44,12
1782926287276,SILVER,S3,9,2519,44,11
1782926287321,SILVER,S3,10,2564,37,10
1782926287359,SILVER,S3,11,2602,33,9
1782926287393,SILVER,S3,12,2636,39,8
1782926287433,SILVER,S3,13,2676,39,7
1782926287473,SILVER,S3,14,2716,36,6
1782926287509,SILVER,S3,15,2752,29,5
1782926287539,SILVER,S3,16,2782,48,4
1782926287588,SILVER,S3,17,2831,24,3
1782926287612,SILVER,S3,18,2855,17,2
1782926287630,SILVER,S3,19,2873,53,1
1782926287684,SILVER,S3,20,2927,42,0
1782926287727,SILVER,S2,41,2970,23,19
1782926287751,SILVER,S2,42,2994,22,18
1782926287774,SILVER,S2,43,3017,31,17
1782926287806,SILVER,S2,44,3049,52,16
1782926287859,SILVER,S2,45,3102,57,15
1782926287917,SILVER,S2,46,3160,32,14
1782926287950,SILVER,S2,47,3193,31,13
1782926287982,SILVER,S2,48,3225,31,12
1782926288014,SILVER,S2,49,3257,31,11
1782926288046,SILVER,S2,50,3289,27,10
1782926288074,SILVER,S2,51,3317,20,9
1782926288095,SILVER,S2,52,3338,42,8
1782926288148,SILVER,S2,53,3391,23,7
1782926288184,SILVER,S2,54,3427,20,6
1782926288226,SILVER,S2,55,3469,41,5
1782926288268,SILVER,S2,56,3511,34,4
1782926288303,SILVER,S2,57,3546,45,3
1782926288349,SILVER,S2,58,3592,42,2
1782926288392,SILVER,S2,59,3635,25,1
1782926288418,SILVER,S2,60,3661,41,0
